content,score,thumbsUpCount,reviewCreatedVersion
setelah di update tidak bisa di akses menggunakan Wi-fi lampu indikator tetap merah walaupun Wi-fi lancar. jadi harus menggunakan data seluler baru bisa di akses. mohon diperbaiki lagi. setelah di update malah mempersulit bukan mempermudah.,1,26,4.5.7
"Mohon maaf, saya tidak nyaman dengan aplikasi ini, sangat ribet sekali penggunaannya untuk login ulang, udah gitu berbayar dengan pulsa lalu beresiko gagal login, saya mengalami gagal login tapi pulsa saya habis pakai SMS untuk login. Tolong kalau bisa diperbaharui dipermudah cara loginnya.",1,29,4.6.0
"Min, Setelah update ke versi 4.5.9 saya tidak bisa transaksi ke virtual account, Saya sudah coba seperti yang admin sampaikan di ulasan lain,saya sudah restart hp, saya pakai mode pesawat sekitar 30 detik, lalu untuk jaringan pun saya sudah pakai kuota internet menggunakan kartu yang terdaftar di mbanking, tapi keterangan di saat mau transaksi VA ""transaksi gagal"" Terus.",3,11,4.5.9
"Halo admin, aduh ini knapa si saya apk nya selalu minta verifikasi ulang terus (SIMcard tidak sesuai) padahal nomor saya ada di HP pulsa kepotong terus, setiap verifikasi, dan harus ganti pasword juga.. Sdh ke teller bank BCA keluhkan masalah ini, tp ini hasilnya sama tolong di perbaiki, aseli ini apk bikin jenkel, mau mudah transaksi malah jd ribet.. Saya baca komen di sini banyak yg keluhkan hal yang sama tolong lah ini,",2,10,4.5.9
"Untuk versi terbaru saat lampu indikator tidak warna hijau terus sudah masuk halaman PIN, itu gak bisa memasukkan PIN lagi atau melanjutkan transaksi karena gak ada tombol enter, jadi harus keluar dulu dari halaman PIN dulu",4,2,4.5.7
Aplikasi BCA mobile paling bobrokkk. Setiap mau buka aplikasi minta verifikasi ulang yg mengharuskan utk kirim sms mggunakan pulsa.. pulsa semakin habis tapi hasil tdk ada.. kecewa berat dgn aplikasi yg seharusnya membantu pelanggan tanpa hrus ke atm. Skrg mesti apa2 lgsg ke atm aja . 👎👎👎👎,1,11,4.5.7
"Untuk pengembang aplikasi, tolong aplikasinya diperbaiki kembali karena sekarang jadi tidak kompatibel untuk disabilitas netra ketika kita masuk aplikasi kita diharuskan menonaktifkan fitur aksebilitas jadi untuk disabilitas netra tidak dapat menggunakan aplikasi",1,3,4.6.0
aplikasi mulai bobrok. beli kuota XL lewat pembayaran VA di apk my xl pas mau melakukan pembayaran terkendala lampu indikator berwarna biru dengan pemberitahuan cek mutasi rekening dan pas di cek uang saya berkurang namun pembayaran kuota tidak terlaksana dan berakhir gagal membeli dengan uang saya hilang 139.125 ribu. gimana sih kualitas aplikasinya payah banget,1,34,4.5.7
"Kak q mau bikin m banking BCA tapi kenapa belum bisa2 ya keteranganya pasti jaringan internet, pdahal jaringan interku stabil, tak coba pake wifi pdahal bagus jaringane juga sama keterangane kek gitu,,udh bbrp kali uji ulang tapi blm berhasil Sampek sekarang,, itu kendalanya di apa sih kak ribet banget dehh,, padahal juga pulsa udh ada lohh.. di teller di bantuin cs nya juga sama gak bantu sama sekali dehh..",1,8,4.5.7
"Hampir 20 thn jd nasabah BCA, tdk sekalipun ada hadiah atau reward yg sy dapat. Tp gpp lah, krn memang tujuan sy bkn itu. Mungkin BCA pun punya pemikiran, "" utk apa beri hadiah, krn mrk yg perlu kt "". Kini, sm spt bank2 lain, bukannya meningkatkan layanan berikut fasilitas lainnya, BCA ikut sibuk mencari cara agar dpt mengeruk rp dari nasabah. Dan itu dibuktikan dengan dikenakannya biaya sebesar 4 rb, jk menarik uang lewat Alfamart atau Indomaret yg sebelumnya tdk ada.",1,2,4.6.1
"BCA Lo ngapa, 2 hari gua mau transaksi gk bisa dari kemaren tuh batang garis nya merah Mulu. Gk ijo warna nya, internet gua mah aman. Tadi aja gua zoom bisa, buka ig, YouTube, wa, browsing bisa, lah masa mau transaksi di M-banking gk bisa. Niatan mau update di play store sapa tau grgr blm ke update. Eh pas cek, gk ada yg harus di update. Udah ikutin saran suruh restart, trs mode pesawat 20-30 detik, lalu matiin mode pesawat. Pas gua login, sama aja tuh masih merah, gk bisa transaksi. Nyusahin ;(",1,7,4.5.7
"Ga bisa login alias abis download trus masuk abis mengizinkan yg pertama keluar sendiri, masuk lagi abis mengizinkan yg kedua gak keluar tapi lama banget tuh layarnya putih ada tulisan BCA nya Ampe sejam kali, jadi ga bisa make lagi dan terpaksa kalo topup atau transfer lewat ATM lagi dah...............................",1,28,4.5.7
"Bca Mobile/myBCA untuk mendapatkan kode OTP/kode verifikasi, why harus pakai pulsa. Sekarang sistem sudah menggunakan internet, seharusnya mempermudah Customer dong, masa pulsa saya sampai habis untuk menunggu respon dari pihak BCA untuk mendapatkan verifikasi pengaktifan M-BANKING BCA, sistem sudah canggih, internet sudah berkembang, masih saja pakai pulsa.ini era modern.",2,3,4.5.7
Hape habis di restar ulang.. mau bikin m-banking di hape lama malah gak bisa.. buang2 pulsa aja cuma Nerima SMS suruh hubungan call center.. No SIM utama sudah di SIM 1.. gak pindah hape juga.  Masih di hape lama. Cuma habis restart ulang jadi kehapus semua data ma aplikasi yg sudah terinstal sebelumnya..,1,3,4.5.7
"Setelah di update jadi indikator lampu nya merah terus, padahal jaringan yang biasa digunakan sama. Takutnya uang yang ada didalam bca mobile nya hilang. Jadi kayak sabotase gak bisa ngecek karna indikator lampu merah terus.",1,58,4.5.9
"Haduuh BCA kenapa lagi inii Beberapa bulan yg lalu Agustus/September kalo ngga salah buka apk malah kepental terus. Sekarang mutasi rekening yang ngga bisa dilihat, padahal barusan temenku transfer dari bank lain dan BERHASIL tapi setelah aku cek saldonya masih tetap (ngga nambah). Aku cek lah mutasi rekening eh malah ngga ada. Tolong yaa dari pihak BCA nya perbaiki lagi, udah 2 kali loh ini saya merasa dirugikan sama aplikasinya",1,4,4.5.7
"Udah daftar mbangking. Tp semua layanan tidak bisa di akses, mau tf gbs, top up e-money gbs. Malah suruh aktivasi layanan ke Bank langsung. Ribet amat, mending apk bank sebelah. Cukup daftar, dah beres. Bisa akses semua layanan",1,5,4.5.7
"Parah banget ini pulsa 15.000 buat tlp 1500888 masalah belum kelar udah abis. Makin kesini makin ribed bca,,,potongan paling gede,pelayanan makin buruk, Menang di keamanan doang sih... Saya rubah kalo masalah login apliksi slesai... Udah habis pulsa 150.000 masih blm bisa login juga.",1,15,4.5.9
"Aplikasinya nyaman, min tolong ini aplikasinya tidak bisa d buka, malah hanya blank hitam saat apilaksi d pilih. Sudah coba restar hp dan gunta ganti data seluler sama wifi juga tetep ga bisa.",5,57,4.5.9
Min ini kenapa setelah update koq gk bisa di akses? Merah terus padahal sinyal aman enak. Hp juga sudah beberpa x di restart. Kalau emg bermasalah sedangkan teman saya bisa di akses,2,2,4.5.9
"Jujur dari semenjak ada Verifikasi Wajah itu sangat membuat kesal nasabah, saya yakin semua nasabah kesal karena selalu gagal Verifikasi wajah padahal sudah yakin itu wajah sendiri. Mohon Developer kalau aplikasi belum siap utk di publish mohon sekiranya jangan diterapkan system Verifikasi wajah. APLIKASI Anda masih Prematur tapi sudah di pasarkan. Kalau ada bintang NOL pasti saya sudah kasih bintanh 0 buat aplikasi BCA ini. Tiap Verifikasi masa harus ke Bank, sudah 3x saya harus ke Bank,",1,5,4.5.7
"Sistem sedang tidak tersedia trus nih bos aplikasi pas mau trasfer, lagi urgen bisa2nya bgini.. Ada pemberitahuan MT pun ngga.. Makin kemari makin sampah bner nih aplikasi.. Tolonglah kalo bikin aplikasi yg bener QCnya.. Makin kemari bukan makin bner malah ada aja error2 yg barunya lagi.. Kocak2",1,6,4.5.9
Habis reset hp mau log-in tapi tidak bisa. Dari nomor kartu sudah benar. Pulsa ada. Sinyal data 100%. Tapi untuk metode verifikasi selalu dialihkan ke halo BCA dan itu sangat membuang uang berupa pulsa sudah dicoba beberapa kali sampai habis pulsa 50k. Tetap tidak bisa log-in,1,7,4.5.6
"Tolong di perbaiki dong, masa bayar pakai Qris ga ada riwayat transaksi melalui Qris, saya di tuduh belum bayar, padahal saya sudah bayar pakai Qris, cuma karna kepencet tombol kembali jadi hilang bukti transfer Qrisnya!",2,2,4.6.0
"Saya transfer melalui VA BCA sebesar Rp 2.070.000 tanggal 28/02/2025 dan saldo sudah berkurang tetapi sampai saat ini sudah 2 minggu saldo belum masuk ke Merchant yang saya kirim bahkan udah dicek secara berkala, sudah komplain melalui Hallo BCA dan ada nomor pengaduan tapi selalu tidak menyelesaiakan masalah. Sangat sangat kecewa uang 2 juta juga lumayan.",1,3,4.6.0
ini pas update app nya.. lah malah ga suka ya sama tampilan pas input pin saat pembayaran atau transfer... emang ini ga kegedean ya tampilan nya sampai full satu layar hp .. update malah jadi jelek...,2,1,4.5.7
"ini ada uang milik banyak orang loh, tapi tindakan server gak ada sama sekali apa gimana, indikator merah, gak bisa akses masuk, mau transaksi susah,, Udh ganti kartu, beli full kuota, didaerah full WiFi masih aja begini, kalian2 semua tujuannya mau ngapain Haaaaa...",1,3,4.5.9
"baru kali ini bayar qris bermasalah. pas scan sempat loading lama. terus muncul tampilan cek status,,, bayar nya gka masuk ke ornag tapi saldo nya ngurangin. gak gede sih. tapi takutnya pas bayar gede kaya gitu.",2,1,4.5.7
"ga tau kenapa tiba2 ga bisa dibuka, udh di update, mnta verifikasi tapi gagal terus. dicoba ampe puluhan kali ttp ga bisa, selalu koneksi ga stabil padahal sinyal bagus",3,0,4.6.1
"parah banget ini aplikasi BCA, mau verifikasi SMS aja berulangkali gagal terus.. pulsa habis banyak tp tidak sukses login.. sudah hubungi call center sudah coba ganti slot SIM 1 jaringan sudah stabil tetep aja gagal ..",1,2,4.6.1
"Yang Terhormat Untuk BCA Mobile... Saya Harap Bisa Bayar Apapun Lewat VA di Semua Payleter Biar Gampang Untuk Membayar nya. Soalnya Ada di beberapa Aplikasi Yang Belum Bisa Pakai VA BCA Mobile. Seperti Akula**, BAF Mobile, Dan Sebagainya... Mohon Ditingkatkan Lagi Ya... Terimakasih BCA MOBILE...",5,1,4.6.1
"Ganti HP. diminta verifikasi ulang, sudah nyoba 2 hari ini, gak berhasil2 verifikasinya. padahal data di KTP sudah sesuai, verfikasi wajah juga gak berhasil padahal sudah ditempat yang terang. Mohon solusinya.",2,1,4.6.1
"😔😔😔 mobile banking saya tdk bisa aktivasi, sudah report ke Cs Online, Wa Hallo BCA, SDH pakai SimCard 1, Jaringan Ok, Hapus Cache, Pulsa sudah kepotong berkali2, setelah SMS balik aplikasi ehhh balik awal lagi ke syarat ketentuan, ttp tdk ada solusi, ga respect, Uninstal aja. thx",1,2,4.6.1
"transaksi qris gagal tapi saldo terpotong, di inbox menu qris tidak ada tapi di mutasi rekening terpotong. sudah buat laporan tapi penanganannya lambat sampai sekarang sudah 15 hari belum ada kejelasan",1,1,4.6.1
"sangat buruk sekali kapok beli pulsa di BCA ,mengapa saya melakukan pembelian pulsa saldo terpotong namun pulsa tidak masuk dan heran nya tidak ada bukti transaksi tolong dibantu jangan seenaknya potong saldo saja",1,2,4.6.1
"buang buang waktu + pulsa, udah disuruh registrasi ke atm udah gitu malah bulak balik buat verifikasi lagi ke halo bca, perbaikin buat aplikasi nya masa udah verifikasi jadi balik lagi ke menu awal, saya verifikasi sampe 7 kalii pulsa ampe 2 kali ngisi astagaaa 😩😩😩",1,2,4.6.1
ini aplikasi kok jadi ribet gini ya untuk login? padahal udah sesuai arahan tp tetep saja susah dan selalu gagal ketika ngirim SMS padahal pulsa sudah tercukupi,1,2,4.6.1
"Pembayaran Qris kadang pending,, pernah satu kali gagal tapi saldo terpotong, tidak balik lagi,, paling males jika transaksi gagal via mbanking, harus ke kantor cabang terdekat,, semua kelemahan mbanking perbankan seperti itu,, kita tidak bisa membuat pengaduan di mobile mbanking nya,, harus ke kantor 👎😏",3,0,4.6.1
"Tidak sengaja ter-Uninstal sama anak saya, lalu saya instal kembali tapi sudah 2 hari saya coba ngga bisa Login terus. Padahal sudah memasukkan 16 digit nomor kartu ATM BCA dengan benar. Apalagi saya pakai Cardless, sulit transaksi jika tanpa aplikasinya.",3,0,4.6.1
"dari segi performa sih bagus. tapi kenapa sekarang kurang support buat disabilitas tunanetra. padahal nasabah tunanetra itu yang menggunakan Bank BCA itu cukup banyak. saya mohon untuk diperbaiki. untuk selebihnya sih bagus dan normal aja, tapi ada beberapa fitur yang sekarang sedikit menyulitkan buat kami tunanetra",5,0,4.6.1
"Bisakah BCA buat untuk tarik tunai melalui bca mobile maksimal limit sekali tarik mampu 5jt, jangan spt skrg hanya 1jt 250rb... akibat kartu lagi rusak dan belum sempat mampir ke BCA ganti kartunya. Terimakasih sebelumnya.",5,0,4.6.1
"Daftar mobile bca setelah masukin no atm, kirim sms delivered ... tapi loading molo gak bisa, alasan nya koneksi internet... padahal internet bagus, youtube lancar, baca detik lancar. jadi gak bisa pakai m bca nie",1,2,4.6.1
"kenapa sih verivikasi muka susah bgt . camera udah terang , tetep susah . waktu mau ke teller security nya suruh dr ATM aja buat gtuin aplikasi mbanking , kok malah kaya di persulit yaa😑😑 sumpah emosiii bgt , buang² waktu bgt berkali kali coba vermuk ga bisa bisa😡😡",1,1,4.6.1
"kenapa saya instal aplikasi BCA dan sudah ikut panduannya, tapi kode otp belum juga di kirim, sudah 1 bulan berulang kali, tapi pulsa sudah kepotong, sampai sekarang tidak bisa di pakai aplikasi ini, internet stabil kok. uninstal aja!",1,0,4.6.1
"kenapa apk bca mobile, mau login pasti verifikasi terus dengan menggunakan pulsa, kok ribet amat sekarang apk ini, sangat tidak nyaman dengan sebelumnya baik2 saja. tks",1,1,4.6.1
"indikator merah terus, susah banget warna hinau. padahal jaringan wifi stabil. padahal sebelumnya aman. tlong diperbaiki aplikasinya",4,0,4.6.1
"sangat repotkan! verifikasi wajah merepotkan pengguna, saya sebagai orang tua kesulitan karna gagal terus, bagaimana bisa login kalau gagal terus! menganggu kenyamanan!",1,0,4.6.1
"versi terbaru parah, sering banget muncul masalah "" kartu sim tidak sesuai"". setiap restart hp. sedangkan untuk verifikasi via sms ada potongan pulsa -_-",2,0,4.6.1
entah kenapa udah 2 Minggu ini pas mau tranper pin nya selalu gagal padahal ga pernah di ganti...kemaren sempat di blokir..setelah aktif ternyata masih sama .,4,0,4.6.1
"Kenapa ya m banking sulit banget masuknya, error terus, butuh banget mau transaksi, 205 205 begitu aja terus, udah ngabisin pulsa Gonta ganti posisi kartu untuk internet, ttp gak bisa² Edit.. fast respon dan sudah bisa dioperasikan kembali, terima kasih",5,93,4.5.7
Awalnya bagus2 aja sih pakai BCA mobile tapi kemarin tanggal 30 qris BCA bermasalah saldo sudah berkurang tapi tidak terkirim. Sudah telp CS suruh menunggu 1x24 jam untuk menunggu saldo kembali TAPI TERNYATA SALDO TIDAK KEMBALI. saya telp kembali tapi selalu sibuk & malah menghabiskan pulsa. Saldo yang saya mau minta kembali ga besar sih cuma masalahnya saya sering pakai qris BCA untuk transaksi & jadi ragu buat pakai lagi. Tolong dong gimana ini solusinya cape telp cs sibuk terus.,1,2,4.5.7
"aplikasi memudahkan, tapi barusan ada kendala telp ke CS nya tolong belum selesai ngomong udah ditutup telpnya 😭, kalau di bank ramah banget padahal",4,0,4.6.1
"Setelah update malah gak bisa akses,keluar notifikasi suruh menonaktifkan fitur aksesibilitas di hp.padahal di hp fitur tersebut tidak aktif.dicoba clear cache & restart tetap sama saja.",1,1,4.6.0
"udah abis 10k cuman buat previkasi ttep hasil nya coba lagi, transaksi gagal atau semacam nya, sampe abis pulsa hasil nya ttep KAGAK MASUK, Jaringan lancar pun atau lampu hijau sekali pun. tetap TRANSAKSI GAGAL, COBA BEBERAPA SAAT LAGI, Dah dua hari coba lagi coba lagi",1,2,4.6.1
"Aplikasi unfaedah. Lampu indikator sering merah. Dipakai transfer uang, saldo terpotong tapi uangnya nggak masuk ke rekening tujuan. Cs dihubungi sampai habis pulsa, terus sibuk. Ajaib memang. Kayak layanan bank abal-abal",1,6,4.5.9
"Kenapa sih sekarang mbanking BCA ga bisa pake wifi, geram bgt!!! Akhirnya unninstall, pas install ulang trus coba daftar mbanking lagi, malah ga bisa kirim pesan ke 89888, gagal terus padahal udah diisi pulsa. Maunya apa sih? Di update malah makin jelek",1,36,4.5.9
Saya mengalami kendala suami saya transfer dari bank lain dari semalam sampai sekarang belum masuk aplikasinya malah error / gangguan sedangkan lagi penting penting nya uang nya mau di pakai .darurat tolong sistem nya secepat nya di perbaiki sudah lumayan lama waktu terbuang uang mau dipakai tapi belum ada masuk suami saya sudah mendatangi bank lain katanya ada kendala di BCA nya karena dari sana sudah terkirim tapi blm ada di BCA mobile saya jumlah saldo masih tetap,1,2,4.5.7
Halo BCA apakah ketika akan masuk ke menu mbanking bisa tidak usah pakai password mungkin bisa diupgrade pake fingerprint or scan wajah kadang ketika sedang moment buru' amat sangat menghambat kadang jdi lupa password juga aplikasi e-walet yg lain udh pada fingerprint loh ketika akan masuk ke aplikasinya semoga bisa diupgrade untuk mempermudah nasabah 😁,4,0,4.5.7
"Ini kenapa yaaa.. m banking sekarang gabisa top up flazz. Tulisannya selalu transaksi gagal. Padahal biasanya selalu bisa, setelah di update malah gabisaa",4,1,4.5.8
"Sekarang ko banyak potongan yang gada keterangannya. Contoh: ada transferan masuk 100 udah langsung kepotong 40rb pas cek mutasi gada keterangan apa-apa ,ini sering bgt terjadi loh potongannya gak nanggung2 sama aja kaya nyuri saldo org klo kaya gitu.",1,3,4.5.6
"Top up e wallet karena proses muter2 mulu akhirnya saya pencet KEMBALI dan itu sampe 2x. Tp ternyata saldo berkurang, tp jg ga masuk ke e wallet. Di inbox jg ga ada aktifitas pengiriman, tp di mutasi ada. Gimana ini?",1,3,4.5.7
"Untuk login akun kembali setelah aplikasinya terhapus tidak bisa secara langsung, perlu ke kantor terlebih dahulu untuk mengembalikan akun! Semoga hal ini dibikin mudah oleh pihak aplikasinya tanpa perlu ke kantor banknya lagi untuk masuk akun kembali",2,0,4.5.7
"Pecat aja app Developer nya, banyak banget kekurangan nya selama habis update, gk bisa paste, splashscreen nya gk ada, jadi gk tau aplikasi nya lagi loading ngebuka. Developer nya gk bener ini",1,1,4.5.7
Kecewa dengan problem qris 2hr ini. Hingga detik ini dana saya nyangkut entah dimana. Sudah berskala tp ttp saja masih problem. Bank besar solving problem spt ini ko lelet. Sudah coba call cs sampai 3x mentok lama aja di verifikasi hy utk buka data setelah dc. Yg ada 100rb pulsa habis cuma buat telp verifikasi berulang.,1,2,4.5.7
